# t_sim	 h_+	 h_x	 AmpErr	 PhsErr 
-6.7832000000000005e+02	 -7.3763614604777517e-04	 -1.7143758691535394e-04	 0000000000000000	 0000000000000000
-6.7824000000000001e+02	 -7.3969179248354266e-04	 -1.7670796906728813e-04	 0000000000000000	 0000000000000000
-6.7816000000000008e+02	 -7.4174966629614151e-04	 -1.8200681129616682e-04	 0000000000000000	 0000000000000000
-6.7808000000000004e+02	 -7.4380986395320748e-04	 -1.8733376650280286e-04	 0000000000000000	 0000000000000000
-0000000000000678	 -7.4587233595174306e-04	 -1.9268899998339741e-04	 0000000000000000	 0000000000000000
-6.7792000000000007e+02	 -7.4793710061941022e-04	 -1.9807243917501182e-04	 0000000000000000	 0000000000000000
-6.7784000000000003e+02	 -7.5000413602881405e-04	 -2.0348415019072932e-04	 0000000000000000	 0000000000000000
-6.7776000000000010e+02	 -7.5207344541738496e-04	 -2.0892410781322800e-04	 0000000000000000	 0000000000000000
-6.7768000000000006e+02	 -7.5414501264184299e-04	 -2.1439235143806169e-04	 0000000000000000	 0000000000000000
-6.7760000000000002e+02	 -7.5621883488659629e-04	 -2.1988887209904617e-04	 0000000000000000	 0000000000000000
-6.7752000000000010e+02	 -7.5829489881478439e-04	 -2.2541369819405963e-04	 0000000000000000	 0000000000000000
-6.7744000000000005e+02	 -7.6037320052733547e-04	 -2.3096682815993417e-04	 0000000000000000	 0000000000000000
-6.7736000000000001e+02	 -7.6245373055747168e-04	 -2.3654828477195797e-04	 0000000000000000	 0000000000000000
-6.7728000000000009e+02	 -7.6453648683449374e-04	 -2.4215807040979694e-04	 0000000000000000	 0000000000000000
-6.7720000000000005e+02	 -7.6662146371447111e-04	 -2.4779620455678492e-04	 0000000000000000	 0000000000000000
-6.7712000000000000e+02	 -7.6870866050371130e-04	 -2.5346269190702037e-04	 0000000000000000	 0000000000000000
-6.7704000000000008e+02	 -7.7079807280711814e-04	 -2.5915754982458027e-04	 0000000000000000	 0000000000000000
-6.7696000000000004e+02	 -7.7288969856804718e-04	 -2.6488078445150310e-04	 0000000000000000	 0000000000000000
-6.7688000000000000e+02	 -7.7498353146730574e-04	 -2.7063241168633767e-04	 0000000000000000	 0000000000000000
-6.7680000000000007e+02	 -7.7707956596076997e-04	 -2.7641243861569647e-04	 0000000000000000	 0000000000000000
-6.7672000000000003e+02	 -7.7917779263929842e-04	 -2.8222088006534223e-04	 0000000000000000	 0000000000000000
-6.7664000000000010e+02	 -7.8127820289208979e-04	 -2.8805774375356967e-04	 0000000000000000	 0000000000000000
-6.7656000000000006e+02	 -7.8338078569561325e-04	 -2.9392304368361968e-04	 0000000000000000	 0000000000000000
-6.7648000000000002e+02	 -7.8548553175938050e-04	 -2.9981678800114795e-04	 0000000000000000	 0000000000000000
-6.7640000000000009e+02	 -7.8759243093721489e-04	 -3.0573899005375264e-04	 0000000000000000	 0000000000000000
-6.7632000000000005e+02	 -7.8970147549030584e-04	 -3.1168965827523638e-04	 0000000000000000	 0000000000000000
-6.7624000000000001e+02	 -7.9181265754255505e-04	 -3.1766880547338971e-04	 0000000000000000	 0000000000000000
