# t_sim	 h_+	 h_x	 AmpErr	 PhsErr 
-1.1194666666666667e+03	 -1.1946667173371048e-02	 3.3964537913056848e-03	 0000000000000000	 0000000000000000
-1.1193333333333333e+03	 -1.1972732812883233e-02	 3.3867103078009573e-03	 0000000000000000	 0000000000000000
-1.1192000000000000e+03	 -1.1998757228879055e-02	 3.3768848284733985e-03	 0000000000000000	 0000000000000000
-1.1190666666666666e+03	 -1.2024739936378535e-02	 3.3669772126180171e-03	 0000000000000000	 0000000000000000
-1.1189333333333334e+03	 -1.2050680449397878e-02	 3.3569873198660161e-03	 0000000000000000	 0000000000000000
-1.1188000000000000e+03	 -1.2076578280941209e-02	 3.3469150101218619e-03	 0000000000000000	 0000000000000000
-1.1186666666666667e+03	 -1.2102432943011205e-02	 3.3367601436289644e-03	 0000000000000000	 0000000000000000
-1.1185333333333333e+03	 -1.2128243946601327e-02	 3.3265225809063137e-03	 0000000000000000	 0000000000000000
-1.1184000000000001e+03	 -1.2154010801706435e-02	 3.3162021828144744e-03	 0000000000000000	 0000000000000000
-1.1182666666666667e+03	 -1.2179733017314709e-02	 3.3057988104922718e-03	 0000000000000000	 0000000000000000
-1.1181333333333334e+03	 -1.2205410101418707e-02	 3.2953123254225699e-03	 0000000000000000	 0000000000000000
-0000000000001118	 -1.2231041561006914e-02	 3.2847425893687437e-03	 0000000000000000	 0000000000000000
-1.1178666666666668e+03	 -1.2256626902075081e-02	 3.2740894644412086e-03	 0000000000000000	 0000000000000000
-1.1177333333333333e+03	 -1.2282165629617753e-02	 3.2633528130331783e-03	 0000000000000000	 0000000000000000
-1.1176000000000001e+03	 -1.2307657247639365e-02	 3.2525324978873679e-03	 0000000000000000	 0000000000000000
-1.1174666666666667e+03	 -1.2333101259146230e-02	 3.2416283820318756e-03	 0000000000000000	 0000000000000000
-1.1173333333333333e+03	 -1.2358497166157402e-02	 3.2306403288469110e-03	 0000000000000000	 0000000000000000
-1.1172000000000000e+03	 -1.2383844469696413e-02	 3.2195682020004870e-03	 0000000000000000	 0000000000000000
-1.1170666666666666e+03	 -1.2409142669802805e-02	 3.2084118655153013e-03	 0000000000000000	 0000000000000000
-1.1169333333333334e+03	 -1.2434391265523266e-02	 3.1971711837042644e-03	 0000000000000000	 0000000000000000
-1.1168000000000000e+03	 -1.2459589754923383e-02	 3.1858460212376045e-03	 0000000000000000	 0000000000000000
-1.1166666666666667e+03	 -1.2484737635079035e-02	 3.1744362430782499e-03	 0000000000000000	 0000000000000000
-1.1165333333333333e+03	 -1.2509834402087739e-02	 3.1629417145489832e-03	 0000000000000000	 0000000000000000
-1.1164000000000001e+03	 -1.2534879551060510e-02	 3.1513623012674749e-03	 0000000000000000	 0000000000000000
-1.1162666666666667e+03	 -1.2559872576132875e-02	 3.1396978692141975e-03	 0000000000000000	 0000000000000000
-1.1161333333333334e+03	 -1.2584812970456634e-02	 3.1279482846668610e-03	 0000000000000000	 0000000000000000
-0000000000001116	 -1.2609700226211435e-02	 3.1161134142683265e-03	 0000000000000000	 0000000000000000
-1.1158666666666668e+03	 -1.2634533834596269e-02	 3.1041931249611568e-03	 0000000000000000	 0000000000000000
-1.1157333333333333e+03	 -1.2659313285840672e-02	 3.0921872840559087e-03	 0000000000000000	 0000000000000000
-1.1156000000000001e+03	 -1.2684038069196818e-02	 3.0800957591649706e-03	 0000000000000000	 0000000000000000
-1.1154666666666667e+03	 -1.2708707672950636e-02	 3.0679184182713488e-03	 0000000000000000	 0000000000000000
-1.1153333333333333e+03	 -1.2733321584413445e-02	 3.0556551296622063e-03	 0000000000000000	 0000000000000000
-1.1152000000000000e+03	 -1.2757879289933736e-02	 3.0433057619980754e-03	 0000000000000000	 0000000000000000
-1.1150666666666666e+03	 -1.2782380274888329e-02	 3.0308701842459563e-03	 0000000000000000	 0000000000000000
-1.1149333333333334e+03	 -1.2806824023694463e-02	 3.0183482657486667e-03	 0000000000000000	 0000000000000000
-1.1148000000000000e+03	 -1.2831210019800820e-02	 3.0057398761578953e-03	 0000000000000000	 0000000000000000
-1.1146666666666667e+03	 -1.2855537745699622e-02	 2.9930448855038367e-03	 0000000000000000	 0000000000000000
-1.1145333333333333e+03	 -1.2879806682917848e-02	 2.9802631641277968e-03	 0000000000000000	 0000000000000000
-1.1144000000000001e+03	 -1.2904016312029091e-02	 2.9673945827522197e-03	 0000000000000000	 0000000000000000
-1.1142666666666667e+03	 -1.2928166112644987e-02	 2.9544390124129393e-03	 0000000000000000	 0000000000000000
-1.1141333333333334e+03	 -1.2952255563427092e-02	 2.9413963245294630e-03	 0000000000000000	 0000000000000000
-0000000000001114	 -1.2976284142077993e-02	 2.9282663908371254e-03	 0000000000000000	 0000000000000000
-1.1138666666666668e+03	 -1.3000251325353762e-02	 2.9150490834574435e-03	 0000000000000000	 0000000000000000
-1.1137333333333333e+03	 -1.3024156589054699e-02	 2.9017442748300705e-03	 0000000000000000	 0000000000000000
-1.1136000000000001e+03	 -1.3047999408037709e-02	 2.8883518377833834e-03	 0000000000000000	 0000000000000000
-1.1134666666666667e+03	 -1.3071779256207358e-02	 2.8748716454662969e-03	 0000000000000000	 0000000000000000
-1.1133333333333333e+03	 -1.3095495606528314e-02	 2.8613035714189035e-03	 0000000000000000	 0000000000000000
-1.1132000000000000e+03	 -1.3119147931015958e-02	 2.8476474895041048e-03	 0000000000000000	 0000000000000000
-1.1130666666666666e+03	 -1.3142735700749279e-02	 2.8339032739786965e-03	 0000000000000000	 0000000000000000
-1.1129333333333334e+03	 -1.3166258385861301e-02	 2.8200707994243553e-03	 0000000000000000	 0000000000000000
-1.1128000000000000e+03	 -1.3189715455552092e-02	 2.8061499408194878e-03	 0000000000000000	 0000000000000000
-1.1126666666666667e+03	 -1.3213106378079178e-02	 2.7921405734693868e-03	 0000000000000000	 0000000000000000
-1.1125333333333333e+03	 -1.3236430620770314e-02	 2.7780425730786467e-03	 0000000000000000	 0000000000000000
-1.1124000000000001e+03	 -1.3259687650014543e-02	 2.7638558156811367e-03	 0000000000000000	 0000000000000000
-1.1122666666666667e+03	 -1.3282876931274248e-02	 2.7495801777125723e-03	 0000000000000000	 0000000000000000
-1.1121333333333334e+03	 -1.3305997929076668e-02	 2.7352155359402076e-03	 0000000000000000	 0000000000000000
-0000000000001112	 -1.3329050107025986e-02	 2.7207617675354644e-03	 0000000000000000	 0000000000000000
-1.1118666666666668e+03	 -1.3352032927794390e-02	 2.7062187500037386e-03	 0000000000000000	 0000000000000000
-1.1117333333333333e+03	 -1.3374945853134932e-02	 2.6915863612572682e-03	 0000000000000000	 0000000000000000
-1.1116000000000001e+03	 -1.3397788343872046e-02	 2.6768644795442001e-03	 0000000000000000	 0000000000000000
-1.1114666666666667e+03	 -1.3420559859914380e-02	 2.6620529835220466e-03	 0000000000000000	 0000000000000000
-1.1113333333333333e+03	 -1.3443259860245724e-02	 2.6471517521868457e-03	 0000000000000000	 0000000000000000
-1.1112000000000000e+03	 -1.3465887802937615e-02	 2.6321606649462861e-03	 0000000000000000	 0000000000000000
-1.1110666666666666e+03	 -1.3488443145140125e-02	 2.6170796015486130e-03	 0000000000000000	 0000000000000000
-1.1109333333333334e+03	 -1.3510925343095002e-02	 2.6019084421564343e-03	 0000000000000000	 0000000000000000
-1.1108000000000000e+03	 -1.3533333852125989e-02	 2.5866470672751725e-03	 0000000000000000	 0000000000000000
-1.1106666666666667e+03	 -1.3555668126652029e-02	 2.5712953578270513e-03	 0000000000000000	 0000000000000000
-1.1105333333333333e+03	 -1.3577927620177932e-02	 2.5558531950792543e-03	 0000000000000000	 0000000000000000
-1.1104000000000001e+03	 -1.3600111785306828e-02	 2.5403204607184538e-03	 0000000000000000	 0000000000000000
-1.1102666666666667e+03	 -1.3622220073732066e-02	 2.5246970367782976e-03	 0000000000000000	 0000000000000000
-1.1101333333333334e+03	 -1.3644251936248868e-02	 2.5089828057144022e-03	 0000000000000000	 0000000000000000
-0000000000001110	 -1.3666206822745861e-02	 2.4931776503316848e-03	 0000000000000000	 0000000000000000
-1.1098666666666668e+03	 -1.3688084182217869e-02	 2.4772814538593911e-03	 0000000000000000	 0000000000000000
-1.1097333333333333e+03	 -1.3709883462756549e-02	 2.4612940998784741e-03	 0000000000000000	 0000000000000000
-1.1096000000000001e+03	 -1.3731604111563347e-02	 2.4452154723964537e-03	 0000000000000000	 0000000000000000
-1.1094666666666667e+03	 -1.3753245574940750e-02	 2.4290454557745721e-03	 0000000000000000	 0000000000000000
-1.1093333333333333e+03	 -1.3774807298304728e-02	 2.4127839348036914e-03	 0000000000000000	 0000000000000000
-1.1092000000000000e+03	 -1.3796288726175592e-02	 2.3964307946300789e-03	 0000000000000000	 0000000000000000
-1.1090666666666666e+03	 -1.3817689302191244e-02	 2.3799859208320697e-03	 0000000000000000	 0000000000000000
-1.1089333333333334e+03	 -1.3839008469097979e-02	 2.3634491993459630e-03	 0000000000000000	 0000000000000000
-1.1088000000000000e+03	 -1.3860245668763316e-02	 2.3468205165421479e-03	 0000000000000000	 0000000000000000
-1.1086666666666667e+03	 -1.3881400342166962e-02	 2.3300997591513052e-03	 0000000000000000	 0000000000000000
-1.1085333333333333e+03	 -1.3902471929413695e-02	 2.3132868143408533e-03	 0000000000000000	 0000000000000000
-1.1084000000000001e+03	 -1.3923459869724548e-02	 2.2963815696402409e-03	 0000000000000000	 0000000000000000
-1.1082666666666667e+03	 -1.3944363601449227e-02	 2.2793839130182117e-03	 0000000000000000	 0000000000000000
-1.1081333333333334e+03	 -1.3965182562057848e-02	 2.2622937328079453e-03	 0000000000000000	 0000000000000000
-0000000000001108	 -1.3985916188153289e-02	 2.2451109177841931e-03	 0000000000000000	 0000000000000000
-1.1078666666666668e+03	 -1.4006563915462166e-02	 2.2278353570879994e-03	 0000000000000000	 0000000000000000
-1.1077333333333333e+03	 -1.4027125178848418e-02	 2.2104669403047433e-03	 0000000000000000	 0000000000000000
-1.1076000000000001e+03	 -1.4047599412303255e-02	 2.1930055573882272e-03	 0000000000000000	 0000000000000000
-1.1074666666666667e+03	 -1.4067986048959565e-02	 2.1754510987386801e-03	 0000000000000000	 0000000000000000
-1.1073333333333333e+03	 -1.4088284521081202e-02	 2.1578034551271190e-03	 0000000000000000	 0000000000000000
-1.1072000000000000e+03	 -1.4108494260077764e-02	 2.1400625177733718e-03	 0000000000000000	 0000000000000000
-1.1070666666666666e+03	 -1.4128614696494179e-02	 2.1222281782700171e-03	 0000000000000000	 0000000000000000
-1.1069333333333334e+03	 -1.4148645260024559e-02	 2.1043003286609959e-03	 0000000000000000	 0000000000000000
-1.1068000000000000e+03	 -1.4168585379502781e-02	 2.0862788613649655e-03	 0000000000000000	 0000000000000000
-1.1066666666666667e+03	 -1.4188434482916054e-02	 2.0681636692545975e-03	 0000000000000000	 0000000000000000
-1.1065333333333333e+03	 -1.4208191997395314e-02	 2.0499546455788956e-03	 0000000000000000	 0000000000000000
-1.1064000000000001e+03	 -1.4227857349228734e-02	 2.0316516840435035e-03	 0000000000000000	 0000000000000000
-1.1062666666666667e+03	 -1.4247429963852500e-02	 2.0132546787326555e-03	 0000000000000000	 0000000000000000
-1.1061333333333334e+03	 -1.4266909265864177e-02	 1.9947635241894029e-03	 0000000000000000	 0000000000000000
-0000000000001106	 -1.4286294679013449e-02	 1.9761781153374855e-03	 0000000000000000	 0000000000000000
-1.1058666666666668e+03	 -1.4305585626215605e-02	 1.9574983475617470e-03	 0000000000000000	 0000000000000000
-1.1057333333333333e+03	 -1.4324781529542134e-02	 1.9387241166296254e-03	 0000000000000000	 0000000000000000
-1.1056000000000001e+03	 -1.4343881810234356e-02	 1.9198553187725312e-03	 0000000000000000	 0000000000000000
-1.1054666666666667e+03	 -1.4362885888693782e-02	 1.9008918506062240e-03	 0000000000000000	 0000000000000000
-1.1053333333333333e+03	 -1.4381793184496380e-02	 1.8818336092124466e-03	 0000000000000000	 0000000000000000
-1.1052000000000000e+03	 -1.4400603116382268e-02	 1.8626804920599043e-03	 0000000000000000	 0000000000000000
-1.1050666666666666e+03	 -1.4419315102269986e-02	 1.8434323970852849e-03	 0000000000000000	 0000000000000000
-1.1049333333333334e+03	 -1.4437928559247150e-02	 1.8240892226142865e-03	 0000000000000000	 0000000000000000
-1.1048000000000000e+03	 -1.4456442903583513e-02	 1.8046508674430097e-03	 0000000000000000	 0000000000000000
-1.1046666666666667e+03	 -1.4474857550722363e-02	 1.7851172307585021e-03	 0000000000000000	 0000000000000000
-1.1045333333333333e+03	 -1.4493171915293682e-02	 1.7654882122206789e-03	 0000000000000000	 0000000000000000
-1.1044000000000001e+03	 -1.4511385411104676e-02	 1.7457637118821292e-03	 0000000000000000	 0000000000000000
-1.1042666666666667e+03	 -1.4529497451154002e-02	 1.7259436302708823e-03	 0000000000000000	 0000000000000000
-1.1041333333333334e+03	 -1.4547507447621968e-02	 1.7060278683094388e-03	 0000000000000000	 0000000000000000
-0000000000001104	 -1.4565414811884520e-02	 1.6860163273982487e-03	 0000000000000000	 0000000000000000
-1.1038666666666668e+03	 -1.4583218954503447e-02	 1.6659089093341395e-03	 0000000000000000	 0000000000000000
-1.1037333333333333e+03	 -1.4600919285240849e-02	 1.6457055163940015e-03	 0000000000000000	 0000000000000000
-1.1036000000000001e+03	 -1.4618515213048905e-02	 1.6254060512532335e-03	 0000000000000000	 0000000000000000
-1.1034666666666667e+03	 -1.4636006146084554e-02	 1.6050104170697217e-03	 0000000000000000	 0000000000000000
-1.1033333333333333e+03	 -1.4653391491699348e-02	 1.5845185174015288e-03	 0000000000000000	 0000000000000000
-1.1032000000000000e+03	 -1.4670670656453761e-02	 1.5639302562917049e-03	 0000000000000000	 0000000000000000
-1.1030666666666666e+03	 -1.4687843046107454e-02	 1.5432455381853127e-03	 0000000000000000	 0000000000000000
-1.1029333333333334e+03	 -1.4704908065633621e-02	 1.5224642680146477e-03	 0000000000000000	 0000000000000000
-1.1028000000000000e+03	 -1.4721865119208991e-02	 1.5015863511160851e-03	 0000000000000000	 0000000000000000
-1.1026666666666667e+03	 -1.4738713610228304e-02	 1.4806116933155033e-03	 0000000000000000	 0000000000000000
-1.1025333333333333e+03	 -1.4755452941294347e-02	 1.4595402008444858e-03	 0000000000000000	 0000000000000000
-1.1024000000000001e+03	 -1.4772082514232471e-02	 1.4383717804267581e-03	 0000000000000000	 0000000000000000
-1.1022666666666667e+03	 -1.4788601730080602e-02	 1.4171063391935838e-03	 0000000000000000	 0000000000000000
-1.1021333333333334e+03	 -1.4805009989103597e-02	 1.3957437847702233e-03	 0000000000000000	 0000000000000000
-0000000000001102	 -1.4821306690783792e-02	 1.3742840251919064e-03	 0000000000000000	 0000000000000000
-1.1018666666666668e+03	 -1.4837491233834850e-02	 1.3527269689899161e-03	 0000000000000000	 0000000000000000
-1.1017333333333333e+03	 -1.4853563016192253e-02	 1.3310725251071977e-03	 0000000000000000	 0000000000000000
-1.1016000000000001e+03	 -1.4869521435027915e-02	 1.3093206029851970e-03	 0000000000000000	 0000000000000000
-1.1014666666666667e+03	 -1.4885365886739728e-02	 1.2874711124788332e-03	 0000000000000000	 0000000000000000
-1.1013333333333333e+03	 -1.4901095766966898e-02	 1.2655239639437618e-03	 0000000000000000	 0000000000000000
-1.1012000000000000e+03	 -1.4916710470579277e-02	 1.2434790681510061e-03	 0000000000000000	 0000000000000000
-1.1010666666666666e+03	 -1.4932209391692344e-02	 1.2213363363744601e-03	 0000000000000000	 0000000000000000
-1.1009333333333334e+03	 -1.4947591923657227e-02	 1.1990956803052399e-03	 0000000000000000	 0000000000000000
-1.1008000000000000e+03	 -1.4962857459075361e-02	 1.1767570121396444e-03	 0000000000000000	 0000000000000000
-1.1006666666666667e+03	 -1.4978005389788263e-02	 1.1543202444929241e-03	 0000000000000000	 0000000000000000
-1.1005333333333333e+03	 -1.4993035106892712e-02	 1.1317852904877495e-03	 0000000000000000	 0000000000000000
-1.1004000000000001e+03	 -1.5007946000730210e-02	 1.1091520636675456e-03	 0000000000000000	 0000000000000000
-1.1002666666666667e+03	 -1.5022737460902312e-02	 1.0864204780854808e-03	 0000000000000000	 0000000000000000
-1.1001333333333334e+03	 -1.5037408876259815e-02	 1.0635904482171736e-03	 0000000000000000	 0000000000000000
-0000000000001100	 -1.5051959634918519e-02	 1.0406618890501007e-03	 0000000000000000	 0000000000000000
-1.0998666666666668e+03	 -1.5066389124248259e-02	 1.0176347159959599e-03	 0000000000000000	 0000000000000000
-1.0997333333333333e+03	 -1.5080696730888715e-02	 9.9450884498061918e-04	 0000000000000000	 0000000000000000
-1.0996000000000001e+03	 -1.5094881840738178e-02	 9.7128419235622881e-04	 0000000000000000	 0000000000000000
-1.0994666666666667e+03	 -1.5108943838969624e-02	 9.4796067499080768e-04	 0000000000000000	 0000000000000000
-1.0993333333333333e+03	 -1.5122882110019662e-02	 9.2453821018037476e-04	 0000000000000000	 0000000000000000
-1.0992000000000000e+03	 -1.5136696037604310e-02	 9.0101671573937969e-04	 0000000000000000	 0000000000000000
-1.0990666666666666e+03	 -1.5150385004708179e-02	 8.7739610991183486e-04	 0000000000000000	 0000000000000000
-1.0989333333333334e+03	 -1.5163948393599943e-02	 8.5367631146233860e-04	 0000000000000000	 0000000000000000
-1.0988000000000000e+03	 -1.5177385585821867e-02	 8.2985723958684324e-04	 0000000000000000	 0000000000000000
-1.0986666666666667e+03	 -1.5190695962205202e-02	 8.0593881400385561e-04	 0000000000000000	 0000000000000000
-1.0985333333333333e+03	 -1.5203878902859517e-02	 7.8192095486521540e-04	 0000000000000000	 0000000000000000
-1.0984000000000001e+03	 -1.5216933787188662e-02	 7.5780358284734703e-04	 0000000000000000	 0000000000000000
-1.0982666666666667e+03	 -1.5229859993879382e-02	 7.3358661906161224e-04	 0000000000000000	 0000000000000000
-1.0981333333333334e+03	 -1.5242656900917728e-02	 7.0926998514631110e-04	 0000000000000000	 0000000000000000
-0000000000001098	 -1.5255323885577661e-02	 6.8485360317616984e-04	 0000000000000000	 0000000000000000
-1.0978666666666668e+03	 -1.5267860324437285e-02	 6.6033739575508180e-04	 0000000000000000	 0000000000000000
-1.0977333333333333e+03	 -1.5280265593367872e-02	 6.3572128592498086e-04	 0000000000000000	 0000000000000000
-1.0976000000000001e+03	 -1.5292539067549677e-02	 6.1100519725924905e-04	 0000000000000000	 0000000000000000
-1.0974666666666667e+03	 -1.5304680121460988e-02	 5.8618905377080832e-04	 0000000000000000	 0000000000000000
-1.0973333333333333e+03	 -1.5316688128894222e-02	 5.6127278000622587e-04	 0000000000000000	 0000000000000000
-1.0972000000000000e+03	 -1.5328562462944881e-02	 5.3625630095317138e-04	 0000000000000000	 0000000000000000
-1.0970666666666666e+03	 -1.5340302496027644e-02	 5.1113954213511564e-04	 0000000000000000	 0000000000000000
-1.0969333333333334e+03	 -1.5351907599865241e-02	 4.8592242951830874e-04	 0000000000000000	 0000000000000000
-1.0968000000000000e+03	 -1.5363377145504857e-02	 4.6060488960683214e-04	 0000000000000000	 0000000000000000
-1.0966666666666667e+03	 -1.5374710503306620e-02	 4.3518684934929636e-04	 0000000000000000	 0000000000000000
-1.0965333333333333e+03	 -1.5385907042960193e-02	 4.0966823623401848e-04	 0000000000000000	 0000000000000000
