# t_sim	 h_+	 h_x	 AmpErr	 PhsErr 
-6.6048888888888894e+02	 7.5318306068738794e-02	 -4.3684150285031052e-02	 1.6679648669604020e-02	 1.1246863258223883e-02
-6.6035555555555561e+02	 7.5693091416935240e-02	 -4.2887130846196546e-02	 1.6469890880378528e-02	 1.1451368890728730e-02
-6.6022222222222229e+02	 7.6060481881874670e-02	 -4.2086561603360335e-02	 1.6257248160215041e-02	 1.1653573068736378e-02
-6.6008888888888896e+02	 7.6420443252192438e-02	 -4.1282518345108724e-02	 1.6041900769504010e-02	 1.1853616200317774e-02
-6.5995555555555563e+02	 7.6772942116700327e-02	 -4.0475077146624815e-02	 1.5824015057479896e-02	 1.2051642647751493e-02
-6.5982222222222231e+02	 7.7117945915047365e-02	 -3.9664313811435876e-02	 1.5603731151725225e-02	 1.2247783125383549e-02
-6.5968888888888898e+02	 7.7455423000963849e-02	 -3.8850303368493246e-02	 1.5381154617751866e-02	 1.2442137244111251e-02
-6.5955555555555566e+02	 7.7785342702588134e-02	 -3.8033119647095902e-02	 1.5156351834301285e-02	 1.2634757501238880e-02
-6.5942222222222233e+02	 7.8107675367016891e-02	 -3.7212835004402194e-02	 1.4929349732203251e-02	 1.2825637469550344e-02
-6.5928888888888901e+02	 7.8422392376535963e-02	 -3.6389520184031313e-02	 1.4700139062302435e-02	 1.3014704751965311e-02
-6.5915555555555568e+02	 7.8729466119512564e-02	 -3.5563244371791120e-02	 1.4468680443862075e-02	 1.3201820764059846e-02
-6.5902222222222235e+02	 7.9028869916571390e-02	 -3.4734075390656170e-02	 1.4234911996384656e-02	 1.3386786518063687e-02
-6.5888888888888903e+02	 7.9320577895633973e-02	 -3.3902080066220280e-02	 1.3998757851892947e-02	 1.3569355511970471e-02
-6.5875555555555570e+02	 7.9604564832052124e-02	 -3.3067324688502112e-02	 1.3760136154156560e-02	 1.3749251185531719e-02
-6.5862222222222238e+02	 7.9880805968042756e-02	 -3.2229875552823077e-02	 1.3518966230764314e-02	 1.3926188188692734e-02
-6.5848888888888905e+02	 8.0149276834093591e-02	 -3.1389799516213381e-02	 1.3275174257299783e-02	 1.4099894906067334e-02
-6.5835555555555572e+02	 8.0409953104412041e-02	 -3.0547164509361881e-02	 1.3028697584913811e-02	 1.4270134547393454e-02
-6.5822222222222240e+02	 8.0662810499005672e-02	 -2.9702039975912330e-02	 1.2779487810250218e-02	 1.4436723289380282e-02
-6.5808888888888907e+02	 8.0907824767252265e-02	 -2.8854497160271355e-02	 1.2527512810240385e-02	 1.4599542223885820e-02
-6.5795555555555575e+02	 8.1144971742397598e-02	 -2.8004609263929944e-02	 1.2272758405388887e-02	 1.4758543516004252e-02
-6.5782222222222242e+02	 8.1374227486453690e-02	 -2.7152451403925217e-02	 1.2015229819326874e-02	 1.4913748523468939e-02
-6.5768888888888910e+02	 8.1595568491796375e-02	 -2.6298100435856925e-02	 1.1754952943268582e-02	 1.5065239730146729e-02
-6.5755555555555577e+02	 8.1808971933453101e-02	 -2.5441634611889221e-02	 1.1491975676419927e-02	 1.5213146412111911e-02
-6.5742222222222244e+02	 8.2014415929431400e-02	 -2.4583133155447724e-02	 1.1226368955918657e-02	 1.5357626798069290e-02
-6.5728888888888912e+02	 8.2211879781472957e-02	 -2.3722675766866253e-02	 1.0958226843484277e-02	 1.5498847976898489e-02
-6.5715555555555579e+02	 8.2401344164877113e-02	 -2.2860342130255468e-02	 1.0687665696034309e-02	 1.5636966296231236e-02
