# t_sim	 h_+	 h_x	 AmpErr	 PhsErr 
-1.6587200000000000e+03	 5.0345433877220071e-03	 -4.7688336220074042e-04	 0000000000000000	 0000000000000000
-1.6585599999999999e+03	 5.0583855180119262e-03	 -4.7260483199999652e-04	 0000000000000000	 0000000000000000
-1.6584000000000001e+03	 5.0822221787823882e-03	 -4.6828932355070043e-04	 0000000000000000	 0000000000000000
-1.6582400000000000e+03	 5.1060528211199392e-03	 -4.6393675526159098e-04	 0000000000000000	 0000000000000000
-1.6580799999999999e+03	 5.1298768939903724e-03	 -4.5954704287245844e-04	 0000000000000000	 0000000000000000
-1.6579200000000001e+03	 5.1536938439700466e-03	 -4.5512010591244238e-04	 0000000000000000	 0000000000000000
-1.6577600000000000e+03	 5.1775031155237719e-03	 -4.5065586128125395e-04	 0000000000000000	 0000000000000000
-1.6576000000000001e+03	 5.2013041507205579e-03	 -4.4615422963820514e-04	 0000000000000000	 0000000000000000
-1.6574400000000001e+03	 5.2250963895274782e-03	 -4.4161512905209694e-04	 0000000000000000	 0000000000000000
-1.6572800000000000e+03	 5.2488792695094119e-03	 -4.3703848132215753e-04	 0000000000000000	 0000000000000000
-1.6571200000000001e+03	 5.2726522261387996e-03	 -4.3242420569542889e-04	 0000000000000000	 0000000000000000
-1.6569600000000000e+03	 5.2964146924800682e-03	 -4.2777222512066379e-04	 0000000000000000	 0000000000000000
-1.6568000000000000e+03	 5.3201660995145237e-03	 -4.2308246003235024e-04	 0000000000000000	 0000000000000000
-1.6566400000000001e+03	 5.3439058758098139e-03	 -4.1835483453838291e-04	 0000000000000000	 0000000000000000
-1.6564800000000000e+03	 5.3676334478598327e-03	 -4.1358927026970176e-04	 0000000000000000	 0000000000000000
-1.6563199999999999e+03	 5.3913482397394095e-03	 -4.0878569250298345e-04	 0000000000000000	 0000000000000000
-1.6561600000000001e+03	 5.4150496734591573e-03	 -4.0394402407470452e-04	 0000000000000000	 0000000000000000
-0000000000001656	 5.4387371686050777e-03	 -3.9906419143979877e-04	 0000000000000000	 0000000000000000
-1.6558399999999999e+03	 5.4624101427086687e-03	 -3.9414611864933315e-04	 0000000000000000	 0000000000000000
-1.6556800000000001e+03	 5.4860680108717568e-03	 -3.8918973334606309e-04	 0000000000000000	 0000000000000000
-1.6555200000000000e+03	 5.5097101861511155e-03	 -3.8419496080447057e-04	 0000000000000000	 0000000000000000
-1.6553600000000001e+03	 5.5333360791689377e-03	 -3.7916172986454671e-04	 0000000000000000	 0000000000000000
-1.6552000000000000e+03	 5.5569450985120273e-03	 -3.7408996703333690e-04	 0000000000000000	 0000000000000000
-1.6550400000000000e+03	 5.5805366503279248e-03	 -3.6897960235735195e-04	 0000000000000000	 0000000000000000
-1.6548800000000001e+03	 5.6041101387382837e-03	 -3.6383056358514350e-04	 0000000000000000	 0000000000000000
-1.6547200000000000e+03	 5.6276649654210791e-03	 -3.5864278197911959e-04	 0000000000000000	 0000000000000000
-1.6545599999999999e+03	 5.6512005300380676e-03	 -3.5341618653798987e-04	 0000000000000000	 0000000000000000
-1.6544000000000001e+03	 5.6747162298030522e-03	 -3.4815070974954807e-04	 0000000000000000	 0000000000000000
-1.6542400000000000e+03	 5.6982114599231975e-03	 -3.4284628187152092e-04	 0000000000000000	 0000000000000000
-1.6540799999999999e+03	 5.7216856131536830e-03	 -3.3750283662628604e-04	 0000000000000000	 0000000000000000
-1.6539200000000001e+03	 5.7451380802529262e-03	 -3.3212030553935709e-04	 0000000000000000	 0000000000000000
-1.6537600000000000e+03	 5.7685682495231764e-03	 -3.2669862357687584e-04	 0000000000000000	 0000000000000000
-1.6536000000000001e+03	 5.7919755072799754e-03	 -3.2123772354104662e-04	 0000000000000000	 0000000000000000
-1.6534400000000001e+03	 5.8153592373786306e-03	 -3.1573754165072158e-04	 0000000000000000	 0000000000000000
-1.6532800000000000e+03	 5.8387188216980686e-03	 -3.1019801199355201e-04	 0000000000000000	 0000000000000000
-1.6531200000000001e+03	 5.8620536396531073e-03	 -3.0461907205032627e-04	 0000000000000000	 0000000000000000
-1.6529600000000000e+03	 5.8853630686920410e-03	 -2.9900065720269234e-04	 0000000000000000	 0000000000000000
-1.6528000000000000e+03	 5.9086464837959044e-03	 -2.9334270620244758e-04	 0000000000000000	 0000000000000000
-1.6526400000000001e+03	 5.9319032579890083e-03	 -2.8764515573386997e-04	 0000000000000000	 0000000000000000
-1.6524800000000000e+03	 5.9551327618251734e-03	 -2.8190794582876342e-04	 0000000000000000	 0000000000000000
-1.6523199999999999e+03	 5.9783343639118487e-03	 -2.7613101448271309e-04	 0000000000000000	 0000000000000000
-1.6521600000000001e+03	 6.0015074303826216e-03	 -2.7031430301631843e-04	 0000000000000000	 0000000000000000
-0000000000001652	 6.0246513254348455e-03	 -2.6445775074499932e-04	 0000000000000000	 0000000000000000
-1.6518399999999999e+03	 6.0477654107892855e-03	 -2.5856130028726313e-04	 0000000000000000	 0000000000000000
-1.6516800000000001e+03	 6.0708490462406360e-03	 -2.5262489228663294e-04	 0000000000000000	 0000000000000000
-1.6515200000000000e+03	 6.0939015891042208e-03	 -2.4664847066842202e-04	 0000000000000000	 0000000000000000
-1.6513600000000001e+03	 6.1169223947795922e-03	 -2.4063197741276633e-04	 0000000000000000	 0000000000000000
-1.6512000000000000e+03	 6.1399108161843251e-03	 -2.3457535776054951e-04	 0000000000000000	 0000000000000000
-1.6510400000000000e+03	 6.1628662043307766e-03	 -2.2847855503699898e-04	 0000000000000000	 0000000000000000
-1.6508800000000001e+03	 6.1857879077465471e-03	 -2.2234151580703926e-04	 0000000000000000	 0000000000000000
-1.6507200000000000e+03	 6.2086752730647890e-03	 -2.1616418474958859e-04	 0000000000000000	 0000000000000000
-1.6505599999999999e+03	 6.2315276444315565e-03	 -2.0994650976233933e-04	 0000000000000000	 0000000000000000
-1.6504000000000001e+03	 6.2543443641088778e-03	 -2.0368843688595197e-04	 0000000000000000	 0000000000000000
-1.6502400000000000e+03	 6.2771247718697663e-03	 -1.9738991535971244e-04	 0000000000000000	 0000000000000000
-1.6500799999999999e+03	 6.2998682056136139e-03	 -1.9105089259422136e-04	 0000000000000000	 0000000000000000
-1.6499200000000001e+03	 6.3225740007489166e-03	 -1.8467131917889373e-04	 0000000000000000	 0000000000000000
-1.6497600000000000e+03	 6.3452414908214284e-03	 -1.7825114390259943e-04	 0000000000000000	 0000000000000000
-1.6496000000000001e+03	 6.3678700068839997e-03	 -1.7179031871325659e-04	 0000000000000000	 0000000000000000
-1.6494400000000001e+03	 6.3904588781374654e-03	 -1.6528879378618693e-04	 0000000000000000	 0000000000000000
-1.6492800000000000e+03	 6.4130074312882144e-03	 -1.5874652243638997e-04	 0000000000000000	 0000000000000000
-1.6491200000000001e+03	 6.4355149912016067e-03	 -1.5216345623361114e-04	 0000000000000000	 0000000000000000
-1.6489600000000000e+03	 6.4579808802469624e-03	 -1.4553954986844744e-04	 0000000000000000	 0000000000000000
-1.6488000000000000e+03	 6.4804044189634502e-03	 -1.3887475631301695e-04	 0000000000000000	 0000000000000000
-1.6486400000000001e+03	 6.5027849253928805e-03	 -1.3216903164185162e-04	 0000000000000000	 0000000000000000
-1.6484800000000000e+03	 6.5251217157580588e-03	 -1.2542233023768746e-04	 0000000000000000	 0000000000000000
-1.6483199999999999e+03	 6.5474141037832074e-03	 -1.1863460956699337e-04	 0000000000000000	 0000000000000000
-1.6481600000000001e+03	 6.5696614013845437e-03	 -1.1180582543115879e-04	 0000000000000000	 0000000000000000
-0000000000001648	 6.5918629179788505e-03	 -1.0493593669687673e-04	 0000000000000000	 0000000000000000
-1.6478399999999999e+03	 6.6140179611858954e-03	 -9.8024900592064447e-05	 0000000000000000	 0000000000000000
-1.6476800000000001e+03	 6.6361258361253787e-03	 -9.1072677391844546e-05	 0000000000000000	 0000000000000000
-1.6475200000000000e+03	 6.6581858461311639e-03	 -8.4079225758378794e-05	 0000000000000000	 0000000000000000
-1.6473600000000001e+03	 6.6801972920361571e-03	 -7.7044507383463453e-05	 0000000000000000	 0000000000000000
-1.6472000000000000e+03	 6.7021594728992129e-03	 -6.9968482371297858e-05	 0000000000000000	 0000000000000000
-1.6470400000000000e+03	 6.7240716852772064e-03	 -6.2851113838336352e-05	 0000000000000000	 0000000000000000
-1.6468800000000001e+03	 6.7459332239646497e-03	 -5.5692363338576146e-05	 0000000000000000	 0000000000000000
-1.6467200000000000e+03	 6.7677433812536446e-03	 -4.8492195421169694e-05	 0000000000000000	 0000000000000000
-1.6465599999999999e+03	 6.7895014476854537e-03	 -4.1250573097540283e-05	 0000000000000000	 0000000000000000
-1.6464000000000001e+03	 6.8112067112987206e-03	 -3.3967462357364541e-05	 0000000000000000	 0000000000000000
-1.6462400000000000e+03	 6.8328584583927481e-03	 -2.6642827677325084e-05	 0000000000000000	 0000000000000000
-1.6460799999999999e+03	 6.8544559727641060e-03	 -1.9276636495542270e-05	 0000000000000000	 0000000000000000
-1.6459200000000001e+03	 6.8759985364819833e-03	 -1.1868854761276152e-05	 0000000000000000	 0000000000000000
-1.6457600000000000e+03	 6.8974854291125806e-03	 -4.4194513689402273e-06	 0000000000000000	 0000000000000000
-1.6456000000000001e+03	 6.9189159285067223e-03	 3.0716062519839290e-06	 0000000000000000	 0000000000000000
-1.6454400000000001e+03	 6.9402893100121970e-03	 1.0604347743082768e-05	 0000000000000000	 0000000000000000
-1.6452800000000000e+03	 6.9616048472735965e-03	 1.8178804187158042e-05	 0000000000000000	 0000000000000000
-1.6451200000000001e+03	 6.9828618114326892e-03	 2.5795003754204842e-05	 0000000000000000	 0000000000000000
-1.6449600000000000e+03	 7.0040594719399290e-03	 3.3452976031951378e-05	 0000000000000000	 0000000000000000
-1.6448000000000000e+03	 7.0251970957434509e-03	 4.1152747711071378e-05	 0000000000000000	 0000000000000000
-1.6446400000000001e+03	 7.0462739481124111e-03	 4.8894346876911082e-05	 0000000000000000	 0000000000000000
-1.6444800000000000e+03	 7.0672892918138674e-03	 5.6677798733235605e-05	 0000000000000000	 0000000000000000
-1.6443199999999999e+03	 7.0882423879483902e-03	 6.4503129855751127e-05	 0000000000000000	 0000000000000000
-1.6441600000000001e+03	 7.1091324951149254e-03	 7.2370363953936555e-05	 0000000000000000	 0000000000000000
-0000000000001644	 7.1299588702585705e-03	 8.0279526086519097e-05	 0000000000000000	 0000000000000000
-1.6438399999999999e+03	 7.1507207678233858e-03	 8.8230638461167236e-05	 0000000000000000	 0000000000000000
-1.6436800000000001e+03	 7.1714174406120393e-03	 9.6223724612713328e-05	 0000000000000000	 0000000000000000
-1.6435200000000000e+03	 7.1920481389271167e-03	 1.0425880523958408e-04	 0000000000000000	 0000000000000000
-1.6433600000000001e+03	 7.2126121114426444e-03	 1.1233590234544328e-04	 0000000000000000	 0000000000000000
-1.6432000000000000e+03	 7.2331086043331836e-03	 1.2045503511230812e-04	 0000000000000000	 0000000000000000
-1.6430400000000000e+03	 7.2535368621577546e-03	 1.2861622400570362e-04	 0000000000000000	 0000000000000000
-1.6428800000000001e+03	 7.2738961269770133e-03	 1.3681948668392484e-04	 0000000000000000	 0000000000000000
-1.6427200000000000e+03	 7.2941856392486895e-03	 1.4506484206740678e-04	 0000000000000000	 0000000000000000
-1.6425599999999999e+03	 7.3144046369336942e-03	 1.5335230628361158e-04	 0000000000000000	 0000000000000000
-1.6424000000000001e+03	 7.3345523564029690e-03	 1.6168189670086132e-04	 0000000000000000	 0000000000000000
-1.6422400000000000e+03	 7.3546280315317210e-03	 1.7005362790870304e-04	 0000000000000000	 0000000000000000
-1.6420799999999999e+03	 7.3746308946185972e-03	 1.7846751571669488e-04	 0000000000000000	 0000000000000000
-1.6419200000000001e+03	 7.3945601754677372e-03	 1.8692357316924777e-04	 0000000000000000	 0000000000000000
-1.6417600000000000e+03	 7.4144151023200463e-03	 1.9542181451028031e-04	 0000000000000000	 0000000000000000
-1.6416000000000001e+03	 7.4341949009236012e-03	 2.0396225123239998e-04	 0000000000000000	 0000000000000000
-1.6414400000000001e+03	 7.4538987954764309e-03	 2.1254489600708767e-04	 0000000000000000	 0000000000000000
-1.6412800000000000e+03	 7.4735260076855157e-03	 2.2116975876805748e-04	 0000000000000000	 0000000000000000
-1.6411200000000001e+03	 7.4930757577211333e-03	 2.2983685060776510e-04	 0000000000000000	 0000000000000000
-1.6409600000000000e+03	 7.5125472632645487e-03	 2.3854617989443159e-04	 0000000000000000	 0000000000000000
-1.6408000000000000e+03	 7.5319397404737271e-03	 2.4729775613481747e-04	 0000000000000000	 0000000000000000
-1.6406400000000001e+03	 7.5512524030194941e-03	 2.5609158612467176e-04	 0000000000000000	 0000000000000000
-1.6404800000000000e+03	 7.5704844630632541e-03	 2.6492767777875357e-04	 0000000000000000	 0000000000000000
-1.6403199999999999e+03	 7.5896351302812293e-03	 2.7380603631371254e-04	 0000000000000000	 0000000000000000
-1.6401600000000001e+03	 7.6087036128540154e-03	 2.8272666804564009e-04	 0000000000000000	 0000000000000000
-0000000000001640	 7.6276891164792629e-03	 2.9168957660554161e-04	 0000000000000000	 0000000000000000
-1.6398399999999999e+03	 7.6465908453728177e-03	 3.0069476670462753e-04	 0000000000000000	 0000000000000000
-1.6396800000000001e+03	 7.6654080012698213e-03	 3.0974224038163073e-04	 0000000000000000	 0000000000000000
-1.6395200000000000e+03	 7.6841397844378415e-03	 3.1883200073645252e-04	 0000000000000000	 0000000000000000
-1.6393600000000001e+03	 7.7027853926660414e-03	 3.2796404820920321e-04	 0000000000000000	 0000000000000000
-1.6392000000000000e+03	 7.7213440222900437e-03	 3.3713838428211937e-04	 0000000000000000	 0000000000000000
-1.6390400000000000e+03	 7.7398148671698370e-03	 3.4635500779032368e-04	 0000000000000000	 0000000000000000
-1.6388800000000001e+03	 7.7581971197260022e-03	 3.5561391859242772e-04	 0000000000000000	 0000000000000000
-1.6387200000000000e+03	 7.7764899699059361e-03	 3.6491511391202613e-04	 0000000000000000	 0000000000000000
-1.6385599999999999e+03	 7.7946926062323002e-03	 3.7425859197794407e-04	 0000000000000000	 0000000000000000
-1.6384000000000001e+03	 7.8128042147572359e-03	 3.8364434839615962e-04	 0000000000000000	 0000000000000000
-1.6382400000000000e+03	 7.8308239801225896e-03	 3.9307237975960523e-04	 0000000000000000	 0000000000000000
-1.6380799999999999e+03	 7.8487510845025553e-03	 4.0254268005042199e-04	 0000000000000000	 0000000000000000
-1.6379200000000001e+03	 7.8665847086756384e-03	 4.1205524421971215e-04	 0000000000000000	 0000000000000000
-1.6377600000000000e+03	 7.8843240309558783e-03	 4.2161006461975112e-04	 0000000000000000	 0000000000000000
-1.6376000000000001e+03	 7.9019682282759872e-03	 4.3120713455386509e-04	 0000000000000000	 0000000000000000
-1.6374400000000001e+03	 7.9195164751074982e-03	 4.4084644473840116e-04	 0000000000000000	 0000000000000000
-1.6372800000000000e+03	 7.9369679445555376e-03	 4.5052798682311269e-04	 0000000000000000	 0000000000000000
-1.6371200000000001e+03	 7.9543218072671250e-03	 4.6025174988242889e-04	 0000000000000000	 0000000000000000
-1.6369600000000000e+03	 7.9715772325379235e-03	 4.7001772390683349e-04	 0000000000000000	 0000000000000000
-1.6368000000000000e+03	 7.9887333872087091e-03	 4.7982589632298742e-04	 0000000000000000	 0000000000000000
-1.6366400000000001e+03	 8.0057894367840839e-03	 4.8967625545636145e-04	 0000000000000000	 0000000000000000
-1.6364800000000000e+03	 8.0227445443170758e-03	 4.9956878707995203e-04	 0000000000000000	 0000000000000000
-1.6363199999999999e+03	 8.0395978715398705e-03	 5.0950347784875494e-04	 0000000000000000	 0000000000000000
-1.6361600000000001e+03	 8.0563485777364642e-03	 5.1948031187641814e-04	 0000000000000000	 0000000000000000
-0000000000001636	 8.0729958208855031e-03	 5.2949927414181895e-04	 0000000000000000	 0000000000000000
-1.6358399999999999e+03	 8.0895387565208896e-03	 5.3956034709357645e-04	 0000000000000000	 0000000000000000
-1.6356800000000001e+03	 8.1059765388866844e-03	 5.4966351402907238e-04	 0000000000000000	 0000000000000000
-1.6355200000000000e+03	 8.1223083197860969e-03	 5.5980875572629845e-04	 0000000000000000	 0000000000000000
-1.6353600000000001e+03	 8.1385332497478334e-03	 5.6999605379580193e-04	 0000000000000000	 0000000000000000
-1.6352000000000000e+03	 8.1546504768636504e-03	 5.8022538733946949e-04	 0000000000000000	 0000000000000000
-1.6350400000000000e+03	 8.1706591479666427e-03	 5.9049673627549189e-04	 0000000000000000	 0000000000000000
-1.6348800000000001e+03	 8.1865584074567004e-03	 6.0081007802438862e-04	 0000000000000000	 0000000000000000
-1.6347200000000000e+03	 8.2023473984909404e-03	 6.1116539080682819e-04	 0000000000000000	 0000000000000000
-1.6345599999999999e+03	 8.2180252617973480e-03	 6.2156265035658389e-04	 0000000000000000	 0000000000000000
-1.6344000000000001e+03	 8.2335911368770637e-03	 6.3200183319157659e-04	 0000000000000000	 0000000000000000
-1.6342400000000000e+03	 8.2490441608061536e-03	 6.4248291335351141e-04	 0000000000000000	 0000000000000000
-1.6340799999999999e+03	 8.2643834694500398e-03	 6.5300586565264810e-04	 0000000000000000	 0000000000000000
-1.6339200000000001e+03	 8.2796081962531222e-03	 6.6357066243337881e-04	 0000000000000000	 0000000000000000
-1.6337600000000000e+03	 8.2947174734655880e-03	 6.7417727679329876e-04	 0000000000000000	 0000000000000000
-1.6336000000000001e+03	 8.3097104309207380e-03	 6.8482567937436874e-04	 0000000000000000	 0000000000000000
-1.6334400000000001e+03	 8.3245861972740323e-03	 6.9551584155652852e-04	 0000000000000000	 0000000000000000
-1.6332800000000000e+03	 8.3393438987684788e-03	 7.0624773227443306e-04	 0000000000000000	 0000000000000000
-1.6331200000000001e+03	 8.3539826604858008e-03	 7.1702132118542014e-04	 0000000000000000	 0000000000000000
-1.6329600000000000e+03	 8.3685016050995282e-03	 7.2783657551185501e-04	 0000000000000000	 0000000000000000
-1.6328000000000000e+03	 8.3828998541386878e-03	 7.3869346318379623e-04	 0000000000000000	 0000000000000000
-1.6326400000000001e+03	 8.3971765267286617e-03	 7.4959194970641331e-04	 0000000000000000	 0000000000000000
-1.6324800000000000e+03	 8.4113307408670603e-03	 7.6053200127784335e-04	 0000000000000000	 0000000000000000
-1.6323199999999999e+03	 8.4253616121524998e-03	 7.7151358168116399e-04	 0000000000000000	 0000000000000000
-1.6321600000000001e+03	 8.4392682550727821e-03	 7.8253665537805198e-04	 0000000000000000	 0000000000000000
