# t_sim	 h_+	 h_x	 AmpErr	 PhsErr 
-1.8211199999999999e+03	 7.6669605618464781e-02	 5.8884193865341806e-02	 2.5667327211427683e-03	 1.0258243690099533e-02
-1.8209866666666667e+03	 7.6308779626519330e-02	 5.9343130593751313e-02	 2.5280967171242936e-03	 1.0230767371080418e-02
-1.8208533333333335e+03	 7.5945203848802559e-02	 5.9799923687274610e-02	 2.4892852073482947e-03	 1.0203695643903998e-02
-1.8207200000000003e+03	 7.5578890316165270e-02	 6.0254556348402342e-02	 2.4503100392419251e-03	 1.0177010692517641e-02
-1.8205866666666670e+03	 7.5209851525772684e-02	 6.0707011637710764e-02	 2.4111845068105161e-03	 1.0150694529858839e-02
-1.8204533333333338e+03	 7.4838100395841586e-02	 6.1157272521005474e-02	 2.3719222294451641e-03	 1.0124730559120110e-02
-1.8203200000000006e+03	 7.4463650208906038e-02	 6.1605321930702055e-02	 2.3325361881115056e-03	 1.0099104951954985e-02
-1.8201866666666674e+03	 7.4086514554683638e-02	 6.2051142833319931e-02	 2.2930380569759702e-03	 1.0073807645285981e-02
-1.8200533333333342e+03	 7.3706707278576686e-02	 6.2494718297444185e-02	 2.2534378489660564e-03	 1.0048832975643407e-02
-1.8199200000000010e+03	 7.3324242440437046e-02	 6.2936031555052840e-02	 2.2137439183658623e-03	 1.0024179819408729e-02
-1.8197866666666678e+03	 7.2939134287046847e-02	 6.3375066050562326e-02	 2.1739633194713583e-03	 9.9998512212646773e-03
-1.8196533333333346e+03	 7.2551397237402823e-02	 6.3811805474662683e-02	 2.1341024112754886e-03	 9.9758536400251785e-03
-1.8195200000000013e+03	 7.2161045877534885e-02	 6.4246233779676393e-02	 2.0941676416097194e-03	 9.9521958394035437e-03
-1.8193866666666681e+03	 7.1768094960285717e-02	 6.4678335177870472e-02	 2.0541663968278267e-03	 9.9288875895275908e-03
-1.8192533333333349e+03	 7.1372559404282207e-02	 6.5108094124761873e-02	 2.0141077807165511e-03	 9.9059383434187964e-03
-1.8191200000000017e+03	 7.0974454285809313e-02	 6.5535495289969381e-02	 1.9740032166223444e-03	 9.8833560288742461e-03
-1.8189866666666685e+03	 7.0573794819706853e-02	 6.5960523521473510e-02	 1.9338667714168844e-03	 9.8611461375490705e-03
-1.8188533333333353e+03	 7.0170596326468770e-02	 6.6383163807416726e-02	 1.8937151636394126e-03	 9.8393111726622351e-03
-1.8187200000000021e+03	 6.9764874185340678e-02	 6.6803401240207727e-02	 1.8535674167675311e-03	 9.8178505495170043e-03
