# t_sim	 h_+	 h_x	 AmpErr	 PhsErr 
-6.4644444444444446e+02	 -3.1091767660306750e-02	 -8.0279248093754335e-02	 9.3940940626424350e-03	 4.1509351188775412e-03
-6.4631111111111113e+02	 -3.0265390233925622e-02	 -8.0522735764100545e-02	 9.3276386435861194e-03	 4.2420245309564564e-03
-6.4617777777777781e+02	 -2.9436723227021906e-02	 -8.0758513046163938e-02	 9.2597510656111139e-03	 4.3319655464078011e-03
-6.4604444444444448e+02	 -2.8605843651637788e-02	 -8.0986559115247464e-02	 9.1904704525185375e-03	 4.4208709711046623e-03
-6.4591111111111115e+02	 -2.7772829775220102e-02	 -8.1206853865994189e-02	 9.1198555640962711e-03	 4.5088833203781320e-03
-6.4577777777777783e+02	 -2.6937760657708996e-02	 -8.1419377811252788e-02	 9.0479793445756886e-03	 4.5961644969327864e-03
-6.4564444444444450e+02	 -2.6100715615249778e-02	 -8.1624112020050335e-02	 8.9749224456810387e-03	 4.6828833110339474e-03
-6.4551111111111118e+02	 -2.5261773671207959e-02	 -8.1821038090010456e-02	 8.9007660078582653e-03	 4.7692022370497966e-03
-6.4537777777777785e+02	 -2.4421013045344206e-02	 -8.2010138169928526e-02	 8.8255850852860078e-03	 4.8552642737575979e-03
-6.4524444444444453e+02	 -2.3578510708548051e-02	 -8.2191395010225293e-02	 8.7494429718598318e-03	 4.9411805754928650e-03
-6.4511111111111120e+02	 -2.2734342078306394e-02	 -8.2364792039811688e-02	 8.6723873421673588e-03	 5.0270206879527990e-03
-6.4497777777777787e+02	 -2.1888580839392886e-02	 -8.2530313442728348e-02	 8.5944480560323257e-03	 5.1128051745550351e-03
-6.4484444444444455e+02	 -2.1041298961178012e-02	 -8.2687944220991405e-02	 8.5156370523336820e-03	 5.1985027013596863e-03
-6.4471111111111122e+02	 -2.0192566857218323e-02	 -8.2837670228419730e-02	 8.4359497938334155e-03	 5.2840305494932238e-03
-6.4457777777777790e+02	 -1.9342453725824788e-02	 -8.2979478162542739e-02	 8.3553681606749006e-03	 5.3692600883348263e-03
-6.4444444444444457e+02	 -1.8491027996350898e-02	 -8.3113355518997234e-02	 8.2738639963186103e-03	 5.4540254432300372e-03
-6.4431111111111125e+02	 -1.7638357870137372e-02	 -8.3239290507844260e-02	 8.1914030383982584e-03	 5.5381357511699036e-03
-6.4417777777777792e+02	 -1.6784511887361468e-02	 -8.3357271951227982e-02	 8.1079486972995725e-03	 5.6213894188310576e-03
-6.4404444444444459e+02	 -1.5929559462500169e-02	 -8.3467289176890822e-02	 8.0234652073066706e-03	 5.7035888323149209e-03
-6.4391111111111127e+02	 -1.5073571353598500e-02	 -8.3569331927495924e-02	 7.9379201290435131e-03	 5.7845550118305056e-03
-6.4377777777777794e+02	 -1.4216619985016842e-02	 -8.3663390307562494e-02	 7.8512859580957637e-03	 5.8641397508800708e-03
-6.4364444444444462e+02	 -1.3358779638545643e-02	 -8.3749454773514281e-02	 7.7635410464946559e-03	 5.9422353046407750e-03
-6.4351111111111129e+02	 -1.2500126441757161e-02	 -8.3827516183038811e-02	 7.6746698973286197e-03	 6.0187795326811511e-03
-6.4337777777777796e+02	 -1.1640738214350448e-02	 -8.3897565888958581e-02	 7.5846630099382665e-03	 6.0937575413912981e-03
-6.4324444444444464e+02	 -1.0780694137248975e-02	 -8.3959595878704496e-02	 7.4935166711822222e-03	 6.1671983649347339e-03
-6.4311111111111131e+02	 -9.9200743284646314e-03	 -8.4013598931146918e-02	 7.4012326280546836e-03	 6.2391684834253169e-03
-6.4297777777777799e+02	 -9.0589593362801132e-03	 -8.4059568776537613e-02	 7.3078179018227721e-03	 6.3097618889447205e-03
-6.4284444444444466e+02	 -8.1974296250756709e-03	 -8.4097500232872949e-02	 7.2132847929751703e-03	 6.3790886584040862e-03
