# t_sim	 h_+	 h_x	 AmpErr	 PhsErr 
-1.6574400000000001e+03	 -1.5397766483065283e-03	 -2.6173040018067232e-03	 0000000000000000	 0000000000000000
-1.6572800000000000e+03	 -1.5480016825162905e-03	 -2.6333781043856937e-03	 0000000000000000	 0000000000000000
-1.6571200000000001e+03	 -1.5562435771577128e-03	 -2.6495884655808738e-03	 0000000000000000	 0000000000000000
-1.6569600000000000e+03	 -1.5645017060873286e-03	 -2.6659329732968118e-03	 0000000000000000	 0000000000000000
-1.6568000000000000e+03	 -1.5727761559371028e-03	 -2.6824127274849047e-03	 0000000000000000	 0000000000000000
-1.6566400000000001e+03	 -1.5810667098074393e-03	 -2.6990273322896174e-03	 0000000000000000	 0000000000000000
-1.6564800000000000e+03	 -1.5893733810106012e-03	 -2.7157772650439733e-03	 0000000000000000	 0000000000000000
-1.6563200000000002e+03	 -1.5976960527081588e-03	 -2.7326624272090662e-03	 0000000000000000	 0000000000000000
-1.6561600000000001e+03	 -1.6060346959128964e-03	 -2.7496831275916436e-03	 0000000000000000	 0000000000000000
-0000000000001656	 -1.6143892602717286e-03	 -2.7668393697080980e-03	 0000000000000000	 0000000000000000
-1.6558400000000001e+03	 -1.6227598287803877e-03	 -2.7841313926826690e-03	 0000000000000000	 0000000000000000
-1.6556800000000001e+03	 -1.6311465025894620e-03	 -2.8015592463741510e-03	 0000000000000000	 0000000000000000
-1.6555200000000000e+03	 -1.6395494191325055e-03	 -2.8191231340839850e-03	 0000000000000000	 0000000000000000
-1.6553600000000001e+03	 -1.6479686444264765e-03	 -2.8368231301574435e-03	 0000000000000000	 0000000000000000
-1.6552000000000000e+03	 -1.6564042126368452e-03	 -2.8546594168293998e-03	 0000000000000000	 0000000000000000
-1.6550400000000000e+03	 -1.6648560901527719e-03	 -2.8726320824067771e-03	 0000000000000000	 0000000000000000
-1.6548800000000001e+03	 -1.6733242215864223e-03	 -2.8907412975343297e-03	 0000000000000000	 0000000000000000
-1.6547200000000000e+03	 -1.6818084971383308e-03	 -2.9089871756091648e-03	 0000000000000000	 0000000000000000
-1.6545599999999999e+03	 -1.6903088051729530e-03	 -2.9273698844971227e-03	 0000000000000000	 0000000000000000
-1.6544000000000001e+03	 -1.6988250182068275e-03	 -2.9458895281855267e-03	 0000000000000000	 0000000000000000
-1.6542400000000000e+03	 -1.7073570441055433e-03	 -2.9645462522134452e-03	 0000000000000000	 0000000000000000
-1.6540800000000002e+03	 -1.7159048359879675e-03	 -2.9833401539669895e-03	 0000000000000000	 0000000000000000
-1.6539200000000001e+03	 -1.7244684234939995e-03	 -3.0022713721364240e-03	 0000000000000000	 0000000000000000
-1.6537600000000000e+03	 -1.7330478831903144e-03	 -3.0213400128456867e-03	 0000000000000000	 0000000000000000
-1.6536000000000001e+03	 -1.7416433269746897e-03	 -3.0405462191715718e-03	 0000000000000000	 0000000000000000
-1.6534400000000001e+03	 -1.7502548630187360e-03	 -3.0598901070452316e-03	 0000000000000000	 0000000000000000
-1.6532800000000000e+03	 -1.7588825931067384e-03	 -3.0793718226711907e-03	 0000000000000000	 0000000000000000
-1.6531200000000001e+03	 -1.7675265808237653e-03	 -3.0989914864297621e-03	 0000000000000000	 0000000000000000
-1.6529600000000000e+03	 -1.7761868230976357e-03	 -3.1187492370938607e-03	 0000000000000000	 0000000000000000
-1.6528000000000000e+03	 -1.7848631836527200e-03	 -3.1386451801329977e-03	 0000000000000000	 0000000000000000
-1.6526400000000001e+03	 -1.7935553690112520e-03	 -3.1586794287372004e-03	 0000000000000000	 0000000000000000
-1.6524800000000000e+03	 -1.8022629602899142e-03	 -3.1788520710314782e-03	 0000000000000000	 0000000000000000
-1.6523200000000002e+03	 -1.8109855606160989e-03	 -3.1991632207758374e-03	 0000000000000000	 0000000000000000
-1.6521600000000001e+03	 -1.8197229765001576e-03	 -3.2196129951678563e-03	 0000000000000000	 0000000000000000
-0000000000001652	 -1.8284753565231489e-03	 -3.2402015479665340e-03	 0000000000000000	 0000000000000000
-1.6518400000000001e+03	 -1.8372431494143122e-03	 -3.2609290237623667e-03	 0000000000000000	 0000000000000000
-1.6516800000000001e+03	 -1.8460268918843907e-03	 -3.2817955631876386e-03	 0000000000000000	 0000000000000000
-1.6515200000000000e+03	 -1.8548269083670931e-03	 -3.3028012600291100e-03	 0000000000000000	 0000000000000000
-1.6513600000000001e+03	 -1.8636431294217310e-03	 -3.3239461940023328e-03	 0000000000000000	 0000000000000000
-1.6512000000000000e+03	 -1.8724751358672113e-03	 -3.3452304410915555e-03	 0000000000000000	 0000000000000000
-1.6510400000000000e+03	 -1.8813224510300479e-03	 -3.3666541190676335e-03	 0000000000000000	 0000000000000000
-1.6508800000000001e+03	 -1.8901848517905349e-03	 -3.3882173664974346e-03	 0000000000000000	 0000000000000000
-1.6507200000000000e+03	 -1.8990625227570642e-03	 -3.4099203361679683e-03	 0000000000000000	 0000000000000000
-1.6505599999999999e+03	 -1.9079559466803067e-03	 -3.4317631471828818e-03	 0000000000000000	 0000000000000000
-1.6504000000000001e+03	 -1.9168656341972661e-03	 -3.4537458971190928e-03	 0000000000000000	 0000000000000000
-1.6502400000000000e+03	 -1.9257918600024222e-03	 -3.4758686624832722e-03	 0000000000000000	 0000000000000000
-1.6500800000000002e+03	 -1.9347345732035031e-03	 -3.4981315411983151e-03	 0000000000000000	 0000000000000000
-1.6499200000000001e+03	 -1.9436934829635882e-03	 -3.5205346485427235e-03	 0000000000000000	 0000000000000000
-1.6497600000000000e+03	 -1.9526682363110858e-03	 -3.5430781224106548e-03	 0000000000000000	 0000000000000000
-1.6496000000000001e+03	 -1.9616585474148702e-03	 -3.5657620861418980e-03	 0000000000000000	 0000000000000000
-1.6494400000000001e+03	 -1.9706642370011401e-03	 -3.5885866448651152e-03	 0000000000000000	 0000000000000000
-1.6492800000000000e+03	 -1.9796851973680760e-03	 -3.6115518704925727e-03	 0000000000000000	 0000000000000000
-1.6491200000000001e+03	 -1.9887213645909032e-03	 -3.6346578272635627e-03	 0000000000000000	 0000000000000000
-1.6489600000000000e+03	 -1.9977727201338914e-03	 -3.6579045765537540e-03	 0000000000000000	 0000000000000000
-1.6488000000000000e+03	 -2.0068393159325170e-03	 -3.6812922014162835e-03	 0000000000000000	 0000000000000000
-1.6486400000000001e+03	 -2.0159212646140038e-03	 -3.7048208008322301e-03	 0000000000000000	 0000000000000000
-1.6484800000000000e+03	 -2.0250186836737729e-03	 -3.7284905011976182e-03	 0000000000000000	 0000000000000000
-1.6483200000000002e+03	 -2.0341316069357762e-03	 -3.7523014422570209e-03	 0000000000000000	 0000000000000000
-1.6481600000000001e+03	 -2.0432599199479177e-03	 -3.7762537810958640e-03	 0000000000000000	 0000000000000000
-0000000000001648	 -2.0524033481581117e-03	 -3.8003476735230740e-03	 0000000000000000	 0000000000000000
-1.6478400000000001e+03	 -2.0615615691288651e-03	 -3.8245832527187352e-03	 0000000000000000	 0000000000000000
-1.6476800000000001e+03	 -2.0707342912860754e-03	 -3.8489606130785370e-03	 0000000000000000	 0000000000000000
-1.6475200000000000e+03	 -2.0799213307733056e-03	 -3.8734798277551400e-03	 0000000000000000	 0000000000000000
-1.6473600000000001e+03	 -2.0891226475931368e-03	 -3.8981409517828917e-03	 0000000000000000	 0000000000000000
-1.6472000000000000e+03	 -2.0983383414811328e-03	 -3.9229440385784220e-03	 0000000000000000	 0000000000000000
-1.6470400000000000e+03	 -2.1075686134118285e-03	 -3.9478891370166866e-03	 0000000000000000	 0000000000000000
-1.6468800000000001e+03	 -2.1168137200555026e-03	 -3.9729763040902361e-03	 0000000000000000	 0000000000000000
-1.6467200000000000e+03	 -2.1260739257014253e-03	 -3.9982056057203562e-03	 0000000000000000	 0000000000000000
-1.6465599999999999e+03	 -2.1353494705771700e-03	 -4.0235771319812865e-03	 0000000000000000	 0000000000000000
-1.6464000000000001e+03	 -2.1446405482715143e-03	 -4.0490909929887034e-03	 0000000000000000	 0000000000000000
-1.6462400000000000e+03	 -2.1539473003477053e-03	 -4.0747473178752462e-03	 0000000000000000	 0000000000000000
-1.6460800000000002e+03	 -2.1632698097884869e-03	 -4.1005462334052570e-03	 0000000000000000	 0000000000000000
-1.6459200000000001e+03	 -2.1726080990035540e-03	 -4.1264878543838231e-03	 0000000000000000	 0000000000000000
-1.6457600000000000e+03	 -2.1819621149227583e-03	 -4.1525722717961492e-03	 0000000000000000	 0000000000000000
-1.6456000000000001e+03	 -2.1913317249551002e-03	 -4.1787995644084561e-03	 0000000000000000	 0000000000000000
-1.6454400000000001e+03	 -2.2007167660385248e-03	 -4.2051697968345896e-03	 0000000000000000	 0000000000000000
-1.6452800000000000e+03	 -2.2101170334672339e-03	 -4.2316830361036860e-03	 0000000000000000	 0000000000000000
-1.6451200000000001e+03	 -2.2195323045484092e-03	 -4.2583393479610843e-03	 0000000000000000	 0000000000000000
-1.6449600000000000e+03	 -2.2289623818582118e-03	 -4.2851388135279117e-03	 0000000000000000	 0000000000000000
-1.6448000000000000e+03	 -2.2384071352349591e-03	 -4.3120815065775166e-03	 0000000000000000	 0000000000000000
-1.6446400000000001e+03	 -2.2478665244817491e-03	 -4.3391674905564111e-03	 0000000000000000	 0000000000000000
-1.6444800000000000e+03	 -2.2573405877712545e-03	 -4.3663968196593515e-03	 0000000000000000	 0000000000000000
-1.6443200000000002e+03	 -2.2668294162059626e-03	 -4.3937695541908925e-03	 0000000000000000	 0000000000000000
-1.6441600000000001e+03	 -2.2763331192097867e-03	 -4.4212857659494779e-03	 0000000000000000	 0000000000000000
-0000000000001644	 -2.2858518000887780e-03	 -4.4489455438761942e-03	 0000000000000000	 0000000000000000
-1.6438400000000001e+03	 -2.2953855339936787e-03	 -4.4767489838939498e-03	 0000000000000000	 0000000000000000
-1.6436800000000001e+03	 -2.3049343532488692e-03	 -4.5046961835322500e-03	 0000000000000000	 0000000000000000
-1.6435200000000000e+03	 -2.3144982302074359e-03	 -4.5327872314355781e-03	 0000000000000000	 0000000000000000
-1.6433600000000001e+03	 -2.3240770707526931e-03	 -4.5610222090445305e-03	 0000000000000000	 0000000000000000
-1.6432000000000000e+03	 -2.3336707183861174e-03	 -4.5894011884851692e-03	 0000000000000000	 0000000000000000
-1.6430400000000000e+03	 -2.3432789815576722e-03	 -4.6179242378430029e-03	 0000000000000000	 0000000000000000
-1.6428800000000001e+03	 -2.3529016721398734e-03	 -4.6465914181351656e-03	 0000000000000000	 0000000000000000
-1.6427200000000000e+03	 -2.3625386503963899e-03	 -4.6754027856688654e-03	 0000000000000000	 0000000000000000
-1.6425599999999999e+03	 -2.3721898539196614e-03	 -4.7043583885024182e-03	 0000000000000000	 0000000000000000
-1.6424000000000001e+03	 -2.3818553082052413e-03	 -4.7334582710553711e-03	 0000000000000000	 0000000000000000
-1.6422400000000000e+03	 -2.3915351110620942e-03	 -4.7627024747011332e-03	 0000000000000000	 0000000000000000
-1.6420800000000002e+03	 -2.4012294046765418e-03	 -4.7920910442845344e-03	 0000000000000000	 0000000000000000
-1.6419200000000001e+03	 -2.4109383375667485e-03	 -4.8216240261125653e-03	 0000000000000000	 0000000000000000
-1.6417600000000000e+03	 -2.4206620438633557e-03	 -4.8513014749750095e-03	 0000000000000000	 0000000000000000
-1.6416000000000001e+03	 -2.4304006230655992e-03	 -4.8811234523944329e-03	 0000000000000000	 0000000000000000
-1.6414400000000001e+03	 -2.4401541286866247e-03	 -4.9110900250274063e-03	 0000000000000000	 0000000000000000
-1.6412800000000000e+03	 -2.4499225588546910e-03	 -4.9412012569629415e-03	 0000000000000000	 0000000000000000
-1.6411200000000001e+03	 -2.4597058551702744e-03	 -4.9714572104507092e-03	 0000000000000000	 0000000000000000
-1.6409600000000000e+03	 -2.4695039115591303e-03	 -5.0018579419548858e-03	 0000000000000000	 0000000000000000
-1.6408000000000000e+03	 -2.4793166061246332e-03	 -5.0324034994536845e-03	 0000000000000000	 0000000000000000
-1.6406400000000001e+03	 -2.4891437966817380e-03	 -5.0630939383789425e-03	 0000000000000000	 0000000000000000
-1.6404800000000000e+03	 -2.4989853477482425e-03	 -5.0939293198304317e-03	 0000000000000000	 0000000000000000
-1.6403200000000002e+03	 -2.5088411488164257e-03	 -5.1249097021939345e-03	 0000000000000000	 0000000000000000
-1.6401600000000001e+03	 -2.5187111249429035e-03	 -5.1560351382884629e-03	 0000000000000000	 0000000000000000
-0000000000001640	 -2.5285952354636692e-03	 -5.1873056681777567e-03	 0000000000000000	 0000000000000000
-1.6398400000000001e+03	 -2.5384934697385256e-03	 -5.2187213202768111e-03	 0000000000000000	 0000000000000000
-1.6396800000000001e+03	 -2.5484058371155107e-03	 -5.2502821065603415e-03	 0000000000000000	 0000000000000000
-1.6395200000000000e+03	 -2.5583323618959685e-03	 -5.2819880187400118e-03	 0000000000000000	 0000000000000000
-1.6393600000000001e+03	 -2.5682730792496731e-03	 -5.3138390694276155e-03	 0000000000000000	 0000000000000000
-1.6392000000000000e+03	 -2.5782280333315243e-03	 -5.3458352866273279e-03	 0000000000000000	 0000000000000000
-1.6390400000000000e+03	 -2.5881972822906427e-03	 -5.3779766941898094e-03	 0000000000000000	 0000000000000000
-1.6388800000000001e+03	 -2.5981808886879586e-03	 -5.4102633254768349e-03	 0000000000000000	 0000000000000000
-1.6387200000000000e+03	 -2.6081788943556668e-03	 -5.4426952237590269e-03	 0000000000000000	 0000000000000000
-1.6385599999999999e+03	 -2.6181912917765861e-03	 -5.4752724421590947e-03	 0000000000000000	 0000000000000000
-1.6384000000000001e+03	 -2.6282179937780589e-03	 -5.5079950400863560e-03	 0000000000000000	 0000000000000000
-1.6382400000000000e+03	 -2.6382588246926728e-03	 -5.5408630805546368e-03	 0000000000000000	 0000000000000000
-1.6380800000000002e+03	 -2.6483135384997971e-03	 -5.5738766226589393e-03	 0000000000000000	 0000000000000000
-1.6379200000000001e+03	 -2.6583818753797314e-03	 -5.6070357156957793e-03	 0000000000000000	 0000000000000000
-1.6377600000000000e+03	 -2.6684636373110839e-03	 -5.6403403923095856e-03	 0000000000000000	 0000000000000000
-1.6376000000000001e+03	 -2.6785587639819078e-03	 -5.6737906676276421e-03	 0000000000000000	 0000000000000000
-1.6374400000000001e+03	 -2.6886673693033098e-03	 -5.7073865400181804e-03	 0000000000000000	 0000000000000000
-1.6372800000000000e+03	 -2.6987897232889618e-03	 -5.7411279964395467e-03	 0000000000000000	 0000000000000000
-1.6371200000000001e+03	 -2.7089261714635148e-03	 -5.7750150159851634e-03	 0000000000000000	 0000000000000000
-1.6369600000000000e+03	 -2.7190770259962710e-03	 -5.8090475744262968e-03	 0000000000000000	 0000000000000000
-1.6368000000000000e+03	 -2.7292424645899826e-03	 -5.8432256460615676e-03	 0000000000000000	 0000000000000000
-1.6366400000000001e+03	 -2.7394224854521880e-03	 -5.8775492074499133e-03	 0000000000000000	 0000000000000000
-1.6364800000000000e+03	 -2.7496169281919329e-03	 -5.9120182402857442e-03	 0000000000000000	 0000000000000000
-1.6363200000000002e+03	 -2.7598255528503545e-03	 -5.9466327358098300e-03	 0000000000000000	 0000000000000000
-1.6361600000000001e+03	 -2.7700481301349152e-03	 -5.9813926969047469e-03	 0000000000000000	 0000000000000000
-0000000000001636	 -2.7802845076004999e-03	 -6.0162981366165876e-03	 0000000000000000	 0000000000000000
-1.6358400000000001e+03	 -2.7905346151334497e-03	 -6.0513490688274109e-03	 0000000000000000	 0000000000000000
-1.6356800000000001e+03	 -2.8007984317622837e-03	 -6.0865455196913538e-03	 0000000000000000	 0000000000000000
-1.6355200000000000e+03	 -2.8110759325382794e-03	 -6.1218875193006731e-03	 0000000000000000	 0000000000000000
-1.6353600000000001e+03	 -2.8213670547583307e-03	 -6.1573750892132770e-03	 0000000000000000	 0000000000000000
-1.6352000000000000e+03	 -2.8316717002672335e-03	 -6.1930082354562767e-03	 0000000000000000	 0000000000000000
