h1_cplx_snr_amp	h1_cplx_snr_arg	h1_optimal_snr	l1_cplx_snr_amp	l1_cplx_snr_arg	l1_optimal_snr	lal_approximant	using_fast_sgf	amp_beta1	amp_beta2	amp_beta3	dec	deltalogl	deltaloglh1	deltalogll1	logl	logprior	loghrss	logw	matched_filter_snr	mtotal	mtotal_ref	optimal_snr	phi_orb	phase_beta1	phase_beta2	phase_beta3	alpha	psi	ra	signalmodelflag	theta_jn	time	
3.10981129270737e+01	-5.22342870877480e-02	2.90568946017946e+01	3.54885505426964e+01	-6.64944267639650e-02	3.69586581886375e+01	0.00000000000000e+00	0.00000000000000e+00	7.04565296476569e-01	2.84364273644812e+02	2.88528528243374e+02	1.75165479188273e-01	1.10597001153062e+03	4.80230587545870e+02	6.25739423984752e+02	-2.03831843230829e+03	1.56118775004733e+02	-5.17113985262772e+01	-3.71993395882404e+01	4.70312698938713e+01	4.83046277326417e+02	1.00000000000000e+02	4.70132485476630e+01	4.84406624542324e+00	-1.15644097756137e+01	4.22956583768850e+02	-1.53194882671137e+02	3.40390420721794e+00	1.49926736692369e+00	3.41630861493479e+00	1.00000000000000e+00	6.92069723731951e-01	1.12662118408625e+09	
3.10301793634182e+01	-4.83741718811470e-02	3.31164839128546e+01	3.54937140102176e+01	2.93191383215990e-02	3.50050009316261e+01	0.00000000000000e+00	0.00000000000000e+00	-1.85235472699395e-01	2.13529643333406e+02	4.18217342929605e+02	1.36514284718531e-01	1.10730605100244e+03	4.78057581471956e+02	6.29248469530480e+02	-2.03698239283647e+03	1.56968414997318e+02	-5.19925873863696e+01	-3.81342880939262e+01	4.70728678451477e+01	4.90326759319644e+02	1.00000000000000e+02	4.81876705908628e+01	1.63366493105923e+00	4.01713684558998e+01	5.68176926851966e+01	-1.35461289956802e+01	7.14634212459204e-01	1.75988903195663e+00	3.53329350377768e+00	1.00000000000000e+00	1.04285635698289e-01	1.12662118408479e+09	
3.10450363003330e+01	-7.34273951916790e-02	2.95131462553891e+01	3.55132988808472e+01	-2.84051536683170e-02	3.45042824639729e+01	0.00000000000000e+00	0.00000000000000e+00	-4.85474014562663e-01	2.97068466242885e+02	4.62326791864778e+02	1.69907047774378e-01	1.10784875460732e+03	4.78254922641572e+02	6.29593831965747e+02	-2.03643968923159e+03	1.57520475868811e+02	-5.21783266864496e+01	-3.68956241779855e+01	4.71017853837135e+01	4.54098299298737e+02	1.00000000000000e+02	4.54045296225565e+01	4.12930989745120e+00	-4.58851798877723e+01	3.78920810255271e+02	-1.61287232250088e+02	4.73178140880114e+00	9.70057547499584e-01	3.47042536492880e+00	1.00000000000000e+00	4.15094561306490e-02	1.12662118408337e+09	
3.10970325832245e+01	3.77363493902530e-02	2.92033425124982e+01	3.55948371196338e+01	1.00126287158614e-01	3.50162544172071e+01	0.00000000000000e+00	0.00000000000000e+00	-7.57307922902271e-01	2.86939788180829e+02	4.75792708275829e+02	1.77592863520453e-01	1.10815946908797e+03	4.81073155115090e+02	6.27086313972879e+02	-2.03612897475094e+03	1.57361503690625e+02	-5.21257856335632e+01	-3.89137001616250e+01	4.71018826044663e+01	4.50305410515977e+02	1.00000000000000e+02	4.55957595321414e+01	1.43325667612548e+00	4.68190103878926e+01	4.02219812734697e+02	-1.67562758641170e+02	1.66966234974728e+00	6.31783419096560e-02	3.45594569900462e+00	1.00000000000000e+00	3.56123972464587e-01	1.12662118408584e+09	
3.11638559543528e+01	3.96871729308050e-02	3.19707469623030e+01	3.56198900694443e+01	-1.28270493996098e-01	3.52536031680862e+01	0.00000000000000e+00	0.00000000000000e+00	2.35750682880434e-01	2.88482203177654e+02	4.64225051538788e+02	9.78165935327760e-02	1.10848777693272e+03	4.84482878434985e+02	6.24004898497740e+02	-2.03580066690618e+03	1.57106913676903e+02	-5.20372351228109e+01	-3.55330098971162e+01	4.70874669428408e+01	4.59101688570233e+02	1.00000000000000e+02	4.75914403822841e+01	4.69440788415109e+00	1.40134303360232e+01	4.52273475514289e+02	-1.80723255806920e+02	7.44049561701159e-01	1.50018225413888e+00	3.48222729283412e+00	1.00000000000000e+00	2.43049315448313e-01	1.12662118408328e+09	
3.11051247834937e+01	1.95452759046000e-03	2.98291042312834e+01	3.55616118980530e+01	4.08655770353710e-02	3.23033292335248e+01	0.00000000000000e+00	0.00000000000000e+00	-4.21756050763279e-01	3.34185499243252e+02	4.74914476129741e+02	1.44087797085040e-01	1.10899534767426e+03	4.82948507420864e+02	6.26046840253400e+02	-2.03529309616464e+03	1.57174474008013e+02	-5.20616302580150e+01	-3.95320359445796e+01	4.72067035679281e+01	4.87447683703141e+02	1.00000000000000e+02	4.39690861721081e+01	1.28790758748935e+00	-3.77659519889873e+01	4.93416234957743e+02	-1.71741558798036e+02	1.26913155901328e+00	2.48281498591757e+00	3.51403735860944e+00	1.00000000000000e+00	7.12856311389022e-01	1.12662118408149e+09	
3.10815712415550e+01	-4.95405920851080e-02	2.99334560993895e+01	3.55713024584131e+01	-7.29261962728480e-02	3.70945242662388e+01	0.00000000000000e+00	0.00000000000000e+00	3.57409965639364e-01	2.57938958525479e+02	4.53509914521634e+02	1.63636995260174e-01	1.10922301208168e+03	4.81231484145639e+02	6.27991527936045e+02	-2.03506543175722e+03	1.57214495781561e+02	-5.20759814985877e+01	-3.92257241621705e+01	4.71037343434954e+01	4.77257847066167e+02	1.00000000000000e+02	4.76656640003331e+01	3.25476748138668e+00	1.98311479590770e+01	1.63456005980479e+02	-6.34699177298095e+01	1.70710706621723e+00	2.01380979905103e+00	3.43252556800924e+00	1.00000000000000e+00	1.84166318449417e-01	1.12662118408545e+09	
3.11017648661927e+01	-4.43605885139660e-02	2.79230888941044e+01	3.55673637032309e+01	1.52099294316980e-02	3.67950996587403e+01	0.00000000000000e+00	0.00000000000000e+00	6.30717516345296e-01	2.41496323171179e+02	4.06570569346011e+02	1.95374022193627e-01	1.10936717290371e+03	4.77753536524530e+02	6.31613636379180e+02	-2.03492127093520e+03	1.57168429635555e+02	-5.20625459363564e+01	-3.90119268239970e+01	4.71124616261560e+01	4.80659839446282e+02	1.00000000000000e+02	4.61906727844994e+01	8.48615316586579e-01	7.94831150256862e+00	3.98280895453790e+02	-1.33941605790634e+02	6.02023761218596e-01	1.71915557267115e-01	3.39482336756973e+00	1.00000000000000e+00	6.13313822275150e-02	1.12662118408765e+09	
3.10403831763553e+01	-4.70321298582520e-02	3.06540618229448e+01	3.55214922115415e+01	-1.17320053916070e-02	3.34939893468974e+01	0.00000000000000e+00	0.00000000000000e+00	-1.72938141362688e-01	2.94937222652211e+02	4.64135381770217e+02	1.45296170366436e-01	1.10937682381732e+03	4.80625881355576e+02	6.28750942461749e+02	-2.03491162002158e+03	1.57482178763708e+02	-5.21642572007149e+01	-3.92549762877551e+01	4.71354619741445e+01	4.75658275663519e+02	1.00000000000000e+02	4.54039516850130e+01	4.20202891630367e+00	-2.59733756329311e+01	4.37788039544884e+02	-1.59844698849679e+02	4.38194256666958e+00	1.24311165302771e+00	3.50824059173147e+00	1.00000000000000e+00	2.82524835392192e-01	1.12662118408157e+09	
3.10886489527403e+01	-7.09798237922330e-02	3.14781418182920e+01	3.54941959648666e+01	-3.19195989110480e-02	3.44223530086417e+01	0.00000000000000e+00	0.00000000000000e+00	7.45547305885299e-01	3.84456780395375e+02	4.91897608171899e+02	1.47010812067896e-01	1.10943422109664e+03	4.80712037189218e+02	6.28722183907421e+02	-2.03485422274227e+03	1.57600262058929e+02	-5.22037024326758e+01	-3.93420396763807e+01	4.71071316426483e+01	4.62519341297337e+02	1.00000000000000e+02	4.66451690851695e+01	2.78497213001701e+00	3.62600025541037e+01	4.06233657868299e+02	-1.68757540057559e+02	5.78168470137690e-01	1.44884330483466e+00	3.51058688941448e+00	1.00000000000000e+00	5.01030943980941e-01	1.12662118408396e+09	
