h1_cplx_snr_amp	h1_cplx_snr_arg	h1_optimal_snr	l1_cplx_snr_amp	l1_cplx_snr_arg	l1_optimal_snr	lal_approximant	using_fast_sgf	amp_beta1	amp_beta2	amp_beta3	dec	deltalogl	deltaloglh1	deltalogll1	logl	logprior	loghrss	logw	matched_filter_snr	mtotal	mtotal_ref	optimal_snr	phi_orb	phase_beta1	phase_beta2	phase_beta3	alpha	psi	ra	signalmodelflag	theta_jn	time	
3.44233038536129e+01	1.49074267753630e-02	3.18111367226317e+01	3.85320383676214e+01	-4.37758527344390e-02	3.79505491716348e+01	0.00000000000000e+00	0.00000000000000e+00	-5.76939328797350e-02	-1.47574337178874e+02	4.08847854045494e+02	6.99281279430210e-02	1.32973755771212e+03	5.88948541179235e+02	7.40789016532888e+02	-2.31009400942602e+03	1.55210331276587e+02	-5.14042594144523e+01	-4.61051282545236e+01	5.16125516235264e+01	3.15944025704132e+02	1.00000000000000e+02	4.95196183548969e+01	2.16038434127978e+00	2.38504556685995e+01	9.18739614595937e+00	4.57941704464994e+02	2.86344069101416e-01	2.12643398282568e+00	3.42363538933809e+00	1.00000000000000e+00	7.12409411233523e-01	1.12662118408143e+09	
3.42961764458778e+01	2.75553089071860e-02	3.50683454055589e+01	3.88972245545993e+01	-1.21804878034934e-01	3.89452022493451e+01	0.00000000000000e+00	0.00000000000000e+00	-4.40733073362966e-01	-9.28357591427829e+01	2.90802289575771e+02	3.91005821884970e-02	1.33263137694899e+03	5.87359159907507e+02	7.45272217041485e+02	-2.30720019018915e+03	1.54002716440493e+02	-5.10011603543731e+01	-4.64144133291712e+01	5.16320029533079e+01	3.04854516343025e+02	1.00000000000000e+02	5.24072287735765e+01	9.91396550388101e-01	-2.10669792285980e+01	-3.30966113920371e+01	4.56224687686362e+02	2.85721207835450e+00	1.31398715586028e+00	3.44250472593829e+00	1.00000000000000e+00	6.41472937939654e-01	1.12662118408083e+09	
3.43080939532669e+01	9.24021302906900e-03	3.32197205031081e+01	3.86206937782719e+01	1.11398264076690e-02	3.86001090959927e+01	0.00000000000000e+00	0.00000000000000e+00	-2.77877249704310e-01	-1.48453843352094e+02	4.73640559368470e+02	7.28029998553580e-02	1.33356800680787e+03	5.87881722421091e+02	7.45686284386775e+02	-2.30626356033028e+03	1.55703150969304e+02	-5.15686011506966e+01	-4.87409259944780e+01	5.16493797537114e+01	3.03583050827329e+02	1.00000000000000e+02	5.09265967106300e+01	5.33514577259164e+00	2.08601884935802e+01	-4.94495932407543e+01	4.47058302230719e+02	2.26966583367940e+00	1.30575354087529e+00	3.43684049979757e+00	1.00000000000000e+00	6.11647770202048e-01	1.12662118408127e+09	
3.42866221542454e+01	5.49491041512170e-02	3.31843087592295e+01	3.89248467061627e+01	-1.00044684302700e-01	4.05965025703550e+01	0.00000000000000e+00	0.00000000000000e+00	7.09979447742166e-01	-1.03612061172950e+02	3.22620075975942e+02	5.98654451053420e-02	1.33373450542873e+03	5.85461408592679e+02	7.48273096836047e+02	-2.30609706170942e+03	1.54733752894520e+02	-5.12451819672159e+01	-4.68468473948386e+01	5.16534369201500e+01	3.21701817110182e+02	1.00000000000000e+02	5.24335233297621e+01	3.41366983825064e+00	-3.65473839277366e+01	-7.73511395775727e+01	4.96921694220837e+02	2.19034741334323e+00	2.23575787453237e-01	3.40860025989743e+00	1.00000000000000e+00	4.30215909243743e-01	1.12662118408129e+09	
3.42270131278140e+01	2.60002396105490e-02	3.21174233489001e+01	3.87631218717846e+01	2.24340933206900e-03	3.98565816751863e+01	0.00000000000000e+00	0.00000000000000e+00	-9.45993423141036e-01	-1.52048923446362e+02	4.33025918173642e+02	8.39540696206060e-02	1.33383557921498e+03	5.83147485578028e+02	7.50688093636956e+02	-2.30599598792316e+03	1.56070955706181e+02	-5.16914946655809e+01	-4.90821116331491e+01	5.16515953944178e+01	3.16626970459171e+02	1.00000000000000e+02	5.11866778117439e+01	4.74856343755825e+00	1.00247159518939e+01	-4.94754001110678e+01	4.73358445967300e+02	4.58618329136350e+00	9.07806810152450e-01	3.40992268697512e+00	1.00000000000000e+00	6.06986374452590e-02	1.12662118408155e+09	
3.42421220199293e+01	5.52901854090890e-02	3.57525226978255e+01	3.87548954079023e+01	1.56534969052780e-02	3.91549625007611e+01	0.00000000000000e+00	0.00000000000000e+00	5.41939991996651e-01	-1.06209816699525e+02	3.30805992486828e+02	5.18953643771450e-02	1.33395504922570e+03	5.83250024676440e+02	7.50705024549260e+02	-2.30587651791245e+03	1.54917715683392e+02	-5.13063542842201e+01	-4.89110695757368e+01	5.16695252017395e+01	3.24297187424701e+02	1.00000000000000e+02	5.30222025918816e+01	5.34055731926965e+00	-1.34826012262442e+01	2.21131237943667e+02	4.40652312079573e+02	7.59680174624990e-02	2.99783314035038e+00	3.45628286725812e+00	1.00000000000000e+00	3.84135321618435e-01	1.12662118408085e+09	
3.39363280981757e+01	1.15048230073700e-03	3.42927677488759e+01	3.90332851202669e+01	-5.69723378298140e-02	3.94613209277170e+01	0.00000000000000e+00	0.00000000000000e+00	-3.44586639677169e-01	-1.31093864206964e+02	4.10387274276064e+02	6.10050742107510e-02	1.33498083261539e+03	5.75772887592364e+02	7.59207945023024e+02	-2.30485073452276e+03	1.55666913062205e+02	-5.15562583423652e+01	-4.83065793438073e+01	5.16752100745449e+01	3.08984810596958e+02	1.00000000000000e+02	5.22799174563103e+01	5.42193674922281e+00	-4.86015624765662e+01	8.49786319918047e+01	4.38221512310069e+02	6.03859442651875e+00	1.67775311572220e+00	3.43668701370978e+00	1.00000000000000e+00	2.42817587314054e-01	1.12662118408108e+09	
3.44524246900401e+01	3.72612697787190e-02	3.19911093495695e+01	3.87593535564770e+01	-8.49913386510750e-02	3.88934754806028e+01	0.00000000000000e+00	0.00000000000000e+00	-1.87266014515383e-01	-8.94049012143587e+01	2.97165508108984e+02	6.37265830687250e-02	1.33538405002623e+03	5.89690706897317e+02	7.45693343128916e+02	-2.30444751711191e+03	1.54852846259487e+02	-5.12849593913449e+01	-4.98232080031441e+01	5.16967592951113e+01	3.21864626382634e+02	1.00000000000000e+02	5.03600388440712e+01	4.87191563784447e-01	-4.24488921616353e+01	7.32232779784422e+01	4.51637739547344e+02	6.27918441141965e+00	2.62302782738933e+00	3.41246129495781e+00	1.00000000000000e+00	1.33999982911329e-01	1.12662118408114e+09	
3.41239715780288e+01	6.13857972959860e-02	3.21550600194558e+01	3.89650310887735e+01	6.45691614270000e-03	4.09065238884401e+01	0.00000000000000e+00	0.00000000000000e+00	-8.41689318953551e-01	-1.14977440270016e+02	3.34917312845370e+02	8.39054401892190e-02	1.33543660765923e+03	5.78217707567580e+02	7.57218900091649e+02	-2.30439495947892e+03	1.55217137491487e+02	-5.14068872303272e+01	-4.91411205874768e+01	5.16816765389797e+01	3.21480634837605e+02	1.00000000000000e+02	5.20316401960415e+01	2.36468109561334e+00	-4.07599771402923e+00	2.69092459387821e+01	4.73508994462782e+02	4.02029113587228e+00	3.62595019832400e-03	3.39803806880736e+00	1.00000000000000e+00	1.51001282575011e-01	1.12662118408189e+09	
3.42674004322445e+01	-1.09308584647810e-02	3.49883019830350e+01	3.87046825002457e+01	-2.03029916765950e-02	3.84512941559436e+01	0.00000000000000e+00	0.00000000000000e+00	5.32733040930345e-01	-1.49480433496514e+02	4.40502195608714e+02	5.83934262714430e-02	1.33548328499869e+03	5.86795889423816e+02	7.48687395574872e+02	-2.30434828213946e+03	1.54996109674595e+02	-5.13326051801609e+01	-4.87127061961133e+01	5.16822950449889e+01	3.41925700781195e+02	1.00000000000000e+02	5.19873378614731e+01	4.34452428185316e+00	-2.72160874527394e+01	2.60420723299918e+02	4.63026396679131e+02	2.52847440141076e+00	2.89848942404449e+00	3.45822089287386e+00	1.00000000000000e+00	8.68049487295696e-01	1.12662118408068e+09	
